 Loan_ID, Nos_Dep, Education, Self_employed, Annual_income, Loan_amount, Loan_Term, Cibil_score, Residential_assets_value, Commercial_assets_value, Luxury_assets_value, Bank_asset_value, Loan_status
1,0, Not Graduate, Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000,0
2,3, Graduate, No,9100000,29700000,20,506,7100000,4500000,33300000,12800000,0
3,3, Graduate, No,8200000,30700000,8,467,18200000,3300000,23300000,7900000,0
4,5, Not Graduate, Yes,9800000,,20,382,12400000,8200000,,5000000,0
5,0, Graduate, Yes,4800000,,10,319,6800000,8300000,13700000,5100000,0
6,5, Not Graduate, No,1100000,4300000,10,388,3200000,1400000,3300000,1600000,0
7,4, Graduate, Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000,1
8,2, Not Graduate, Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000,0
9,2, Graduate, Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000,1
10,1, Not Graduate, No,1900000,,6,469,1900000,1200000,5900000,1900000,0
11,5, Not Graduate, No,4700000,10700000,10,794,5700000,3900000,16400000,4400000,1
12,2, Graduate, Yes,500000,1600000,4,663,1300000,100000,1300000,700000,1
13,4, Not Graduate, Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000,1
14,2, Graduate, No,2700000,10300000,10,736,1000000,0,6200000,3300000,1
15,2, Graduate, No,5000000,19400000,12,315,9500000,1600000,18000000,6100000,0
16,4, Graduate, Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000,0
17,0, Not Graduate, Yes,500000,1400000,2,551,900000,600000,1100000,300000,1
18,5, Not Graduate,nan,3100000,9500000,35,514,7900000,3100000,6600000,2600000,0
19,4, Graduate, No,8200000,28100000,12,696,11500000,10600000,25300000,7200000,1
20,4, Not Graduate, Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000,1
21,3, Not Graduate, Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000,1
22,1, Not Graduate, Yes,800000,1600000,10,436,700000,200000,2200000,1000000,0
23,3, Graduate, No,4900000,,8,612,9700000,1200000,19000000,5800000,1
24,2, Graduate, Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000,1
25,5, Graduate, Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000,0
26,5, Graduate, No,3600000,7700000,16,830,7000000,1300000,10000000,2900000,1
27,1, Graduate,,7800000,18100000,2,712,8600000,11200000,21700000,9000000,1
28,2, Not Graduate, No,9100000,24900000,16,822,22300000,12100000,31000000,5200000,1
29,3, Graduate, No,1400000,3400000,6,540,200000,1500000,3900000,800000,0
30,2, Graduate, Yes,800000,2300000,12,342,2200000,1300000,1800000,800000,0
31,5, Graduate, No,6500000,13400000,18,787,18200000,300000,16200000,5400000,1
32,4, Graduate, No,8000000,27800000,16,331,13000000,6300000,21400000,10900000,0
33,1, Graduate, Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000,1
34,3, Not Graduate, No,5500000,20500000,12,634,800000,8600000,18500000,8200000,1
35,1, Not Graduate, Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000,1
36,4, Graduate, No,7300000,25400000,16,502,500000,1800000,20500000,10500000,0
37,5, Not Graduate, No,3800000,7600000,4,689,8700000,100000,9300000,3400000,1
